,ts_code,name,industry,market
583,002128.SZ,露天煤业,煤炭开采,中小板
584,002129.SZ,中环股份,半导体,中小板
585,002130.SZ,沃尔核材,电气设备,中小板
586,002131.SZ,利欧股份,互联网,中小板
587,002132.SZ,恒星科技,钢加工,中小板
588,002133.SZ,广宇集团,全国地产,中小板
589,002134.SZ,天津普林,元器件,中小板
590,002135.SZ,东南网架,建筑工程,中小板
591,002136.SZ,安纳达,化工原料,中小板
592,002137.SZ,麦达数字,通信设备,中小板
593,002138.SZ,顺络电子,元器件,中小板
594,002139.SZ,拓邦股份,元器件,中小板
595,002140.SZ,东华科技,建筑工程,中小板
596,002141.SZ,贤丰控股,元器件,中小板
597,002142.SZ,宁波银行,银行,中小板
598,002144.SZ,宏达高科,纺织,中小板
599,002145.SZ,中核钛白,化工原料,中小板
600,002146.SZ,荣盛发展,全国地产,中小板
601,002147.SZ,*ST新光,区域地产,中小板
602,002148.SZ,北纬科技,互联网,中小板
603,002149.SZ,西部材料,小金属,中小板
604,002150.SZ,通润装备,机械基件,中小板
605,002151.SZ,北斗星通,通信设备,中小板
